"date","users"
2025-11-17,1
2025-11-19,8
2025-11-25,144
2025-11-26,986
2025-11-27,682
2025-11-28,306
2025-11-29,178
2025-11-30,162
2025-12-01,126
2025-12-02,96
2025-12-03,53
2025-12-04,53
2025-12-05,38
2025-12-06,34
2025-12-07,59
2025-12-08,43
2025-12-09,49
2025-12-10,42
2025-12-11,33
2025-12-12,225
2025-12-13,133
2025-12-14,59
2025-12-15,53
2025-12-16,31
2025-12-17,58
2025-12-18,40
2025-12-19,23
2025-12-20,26
2025-12-21,27
2025-12-22,52
2025-12-23,17
2025-12-24,14
2025-12-25,13
2025-12-26,8
2025-12-27,8
2025-12-28,5
2025-12-29,9
2025-12-30,2
2025-12-31,4
2026-01-02,4
2026-01-03,4
2026-01-04,8
2026-01-05,30
2026-01-06,14
2026-01-07,16
2026-01-08,12
2026-01-09,16
2026-01-10,6
2026-01-11,7
2026-01-12,7
2026-01-13,6
2026-01-14,9
2026-01-15,6
2026-01-16,7
2026-01-17,5
2026-01-18,8
2026-01-19,3
2026-01-20,4
2026-01-21,2
2026-01-22,4
